model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
Linear Regression,65.35422949665903,14.60209417053353,51.60044148767763,10.13473218634296,-29.568452551201386,61.02628629626585
Random Forest,34.371377295712676,21.98366139103331,14.645801333333338,8.175214635284485,0.958857826486336,0.03225351736899013
Random Forest (Tuned),33.73151792355262,20.03129000708931,13.68899579194328,7.319205157186559,0.9618766918311396,0.027258374775951832
XGBoost,51.532062134911996,41.509302904782615,23.836900372992623,18.891984569645537,0.46838598298120476,0.9254749789803262
XGBoost (Tuned),53.778830829000356,42.11268721110268,24.166284448326962,18.651442938144378,0.583794227471731,0.6815438429827592
